data_source,speaker,absolute_path,relative_path,label,Set,npy_path
11lab,11lab,/home/jupyter/Data/11Lab/2cc45e80-c7a4-4be0-baa6-fc007e01df04.wav,2cc45e80-c7a4-4be0-baa6-fc007e01df04.wav,0,test,/home/jupyter/npy/11lab/2cc45e80-c7a4-4be0-baa6-fc007e01df04.npy
11lab,11lab,/home/jupyter/Data/11Lab/c88addad-0f07-437b-acdb-57aeb627edeb.wav,c88addad-0f07-437b-acdb-57aeb627edeb.wav,0,test,/home/jupyter/npy/11lab/c88addad-0f07-437b-acdb-57aeb627edeb.npy
11lab,11lab,/home/jupyter/Data/11Lab/f47e5bd1-9885-45cb-87e4-1599bac242de.wav,f47e5bd1-9885-45cb-87e4-1599bac242de.wav,0,test,/home/jupyter/npy/11lab/f47e5bd1-9885-45cb-87e4-1599bac242de.npy
11lab,11lab,/home/jupyter/Data/11Lab/bf7fdbd6-5391-49ac-b447-98f70fc0102d.wav,bf7fdbd6-5391-49ac-b447-98f70fc0102d.wav,0,test,/home/jupyter/npy/11lab/bf7fdbd6-5391-49ac-b447-98f70fc0102d.npy
11lab,11lab,/home/jupyter/Data/11Lab/cca038cb-8d77-44ac-99a7-0cbf6684e404.wav,cca038cb-8d77-44ac-99a7-0cbf6684e404.wav,0,test,/home/jupyter/npy/11lab/cca038cb-8d77-44ac-99a7-0cbf6684e404.npy
11lab,11lab,/home/jupyter/Data/11Lab/64394b4a-06c7-4d88-a79a-ba707f304cda.wav,64394b4a-06c7-4d88-a79a-ba707f304cda.wav,0,test,/home/jupyter/npy/11lab/64394b4a-06c7-4d88-a79a-ba707f304cda.npy
11lab,11lab,/home/jupyter/Data/11Lab/108e2087-d579-408f-928a-376ce015c4a0.wav,108e2087-d579-408f-928a-376ce015c4a0.wav,0,test,/home/jupyter/npy/11lab/108e2087-d579-408f-928a-376ce015c4a0.npy
11lab,11lab,/home/jupyter/Data/11Lab/bc74610a-e926-4312-9f4c-233cbb0fd517.wav,bc74610a-e926-4312-9f4c-233cbb0fd517.wav,0,test,/home/jupyter/npy/11lab/bc74610a-e926-4312-9f4c-233cbb0fd517.npy
11lab,11lab,/home/jupyter/Data/11Lab/a2fc5989-2c52-418a-ab0e-19f2728be634.wav,a2fc5989-2c52-418a-ab0e-19f2728be634.wav,0,test,/home/jupyter/npy/11lab/a2fc5989-2c52-418a-ab0e-19f2728be634.npy
11lab,11lab,/home/jupyter/Data/11Lab/dd2f196c-e9b3-43d1-8552-dce6209d202c.wav,dd2f196c-e9b3-43d1-8552-dce6209d202c.wav,0,test,/home/jupyter/npy/11lab/dd2f196c-e9b3-43d1-8552-dce6209d202c.npy
11lab,11lab,/home/jupyter/Data/11Lab/6da5c4a0-3400-4e6b-930a-c7bbba7d2d3f.wav,6da5c4a0-3400-4e6b-930a-c7bbba7d2d3f.wav,0,test,/home/jupyter/npy/11lab/6da5c4a0-3400-4e6b-930a-c7bbba7d2d3f.npy
11lab,11lab,/home/jupyter/Data/11Lab/8ee84555-3786-4318-9a66-345b8ff5c308.wav,8ee84555-3786-4318-9a66-345b8ff5c308.wav,0,test,/home/jupyter/npy/11lab/8ee84555-3786-4318-9a66-345b8ff5c308.npy
11lab,11lab,/home/jupyter/Data/11Lab/197874ab-0093-4853-b7a2-9063774fc9c0.wav,197874ab-0093-4853-b7a2-9063774fc9c0.wav,0,test,/home/jupyter/npy/11lab/197874ab-0093-4853-b7a2-9063774fc9c0.npy
11lab,11lab,/home/jupyter/Data/11Lab/48d100a4-32f3-4c50-b008-70f0bc72444b.wav,48d100a4-32f3-4c50-b008-70f0bc72444b.wav,0,test,/home/jupyter/npy/11lab/48d100a4-32f3-4c50-b008-70f0bc72444b.npy
11lab,11lab,/home/jupyter/Data/11Lab/7e14e7fb-2a9f-46f4-809b-542399f7c0cc.wav,7e14e7fb-2a9f-46f4-809b-542399f7c0cc.wav,0,test,/home/jupyter/npy/11lab/7e14e7fb-2a9f-46f4-809b-542399f7c0cc.npy
